LTV,valor_1_compra,recorrente_1_compra,mes_compra,dia_semana_compra,Produto Fonte,Fonte Campanha,Sexo,Formacao
1049.97,97.14,1,Janeiro,Domingo,Outros,Lista Espera,Outros,Não Informado
2222.02,1165.68,0,Janeiro,Domingo,Excel,Lista Espera,Outros,Não Informado
1075.63,97.14,1,Janeiro,Domingo,Comunidade,Lista Espera,Feminino,Superior Completo
1321.88,97.14,1,Janeiro,Domingo,Python,Lista Espera,Masculino,Não Informado
1807.78,997.0,0,Janeiro,Domingo,Power BI,Lista Espera,Outros,Não Informado
386.47,97.14,1,Janeiro,Domingo,Power BI,Lista Espera,Outros,Não Informado
2510.22,997.0,0,Janeiro,Domingo,Comunidade,Lista Espera,Outros,Não Informado
535.61,97.14,1,Janeiro,Domingo,Outros,Lista Espera,Outros,Não Informado
737.2,97.14,1,Janeiro,Domingo,Python,Tráfego Direto,Outros,Não Informado
2316.66,1165.68,0,Janeiro,Domingo,Python,Tráfego Direto,Outros,Não Informado
3193.72,1165.68,0,Janeiro,Domingo,Python,Tráfego Direto,Outros,Não Informado
2689.26,997.0,0,Janeiro,Domingo,Outros,Lista Espera,Outros,Não Informado
1079.14,97.14,1,Janeiro,Segunda,Power BI,Lista Espera,Outros,Não Informado
1316.38,97.14,1,Janeiro,Segunda,Excel,Lista Espera,Outros,Não Informado
1182.39,97.14,1,Janeiro,Segunda,Power BI,Tráfego Direto,Feminino,Superior Completo
1960.48,997.0,0,Janeiro,Segunda,Excel,Tráfego Direto,Outros,Não Informado
3235.2,1165.68,0,Janeiro,Segunda,Power BI,Lista Espera,Outros,Não Informado
2463.08,1165.68,0,Janeiro,Segunda,Power BI,Tráfego Direto,Outros,Não Informado
1690.43,97.14,1,Janeiro,Segunda,Power BI,Lançamento,Outros,Não Informado
720.43,97.14,1,Janeiro,Segunda,Excel,Lista Espera,Outros,Não Informado
2754.93,1165.68,0,Janeiro,Segunda,Python,Lista Espera,Outros,Não Informado
700.99,97.14,1,Janeiro,Segunda,Power BI,Lista Espera,Feminino,Superior Incompleto
3414.42,997.0,0,Janeiro,Segunda,Power BI,Lista Espera,Outros,Não Informado
2367.27,997.0,0,Janeiro,Segunda,Comunidade,Lista Espera,Outros,Não Informado
2278.66,997.0,0,Janeiro,Segunda,Python,Tráfego Direto,Outros,Não Informado
867.44,97.14,1,Janeiro,Segunda,Power BI,Lista Espera,Outros,Não Informado
2968.0,1165.68,0,Janeiro,Segunda,Comunidade,Lista Espera,Outros,Não Informado
2813.47,1085.64,0,Janeiro,Segunda,Excel,Lista Espera,Outros,Não Informado
904.66,97.14,1,Janeiro,Segunda,Outros,Lista Espera,Outros,Não Informado
1313.82,97.14,1,Janeiro,Segunda,Comunidade,Checkout,Outros,Não Informado
1779.93,97.14,1,Janeiro,Segunda,Comunidade,Lista Espera,Outros,Não Informado
539.96,97.14,1,Janeiro,Segunda,Excel,Lista Espera,Outros,Não Informado
586.38,97.14,1,Janeiro,Segunda,Power BI,Outros,Outros,Não Informado
2033.52,997.0,0,Janeiro,Segunda,Comunidade,Lista Espera,Outros,Não Informado
1357.55,97.14,1,Janeiro,Segunda,Power BI,Lista Espera,Outros,Não Informado
3320.07,1165.68,0,Janeiro,Segunda,Excel,Lista Espera,Outros,Não Informado
2640.83,1165.68,0,Janeiro,Segunda,Comunidade,Lista Espera,Masculino,Superior Completo
270.38,97.14,1,Janeiro,Segunda,Comunidade,Lista Espera,Outros,Não Informado
278.31,97.14,1,Janeiro,Segunda,Comunidade,Lista Espera,Outros,Não Informado
1025.08,97.14,1,Janeiro,Segunda,Outros,Lista Espera,Outros,Não Informado
1121.99,97.14,1,Janeiro,Segunda,Excel,Lista Espera,Outros,Não Informado
3282.87,1138.6,0,Janeiro,Segunda,Power BI,Lista Espera,Outros,Não Informado
696.47,155.59,1,Janeiro,Segunda,Ciência de Dados,Outros,Outros,Não Informado
763.24,97.14,1,Janeiro,Segunda,Excel,Tráfego Direto,Outros,Não Informado
2757.59,1165.68,0,Janeiro,Segunda,Comunidade,Lista Espera,Outros,Não Informado
806.42,97.14,1,Janeiro,Segunda,Outros,Lista Espera,Masculino,Superior+
1386.88,97.14,1,Janeiro,Segunda,Power BI,Tráfego Direto,Feminino,Superior Completo
1208.91,97.14,1,Janeiro,Segunda,Comunidade,Checkout,Outros,Não Informado
3092.22,1165.68,0,Janeiro,Segunda,Excel,Lista Espera,Outros,Não Informado
729.92,97.14,1,Janeiro,Segunda,Comunidade,Lista Espera,Outros,Não Informado
2694.89,1165.68,0,Janeiro,Terça,Outros,Lista Espera,Outros,Não Informado
3368.11,1165.68,0,Janeiro,Terça,Power BI,Lista Espera,Outros,Não Informado
2010.83,1165.68,0,Janeiro,Terça,Excel,Lista Espera,Masculino,Médio
2586.68,1165.68,0,Janeiro,Terça,Excel,Lista Espera,Outros,Não Informado
457.58,97.14,1,Janeiro,Terça,Comunidade,Lista Espera,Outros,Não Informado
2325.08,1165.68,0,Janeiro,Terça,Excel,Tráfego Direto,Masculino,Superior Incompleto
506.42,97.14,1,Janeiro,Terça,Excel,Tráfego Direto,Outros,Não Informado
3335.28,1085.64,0,Janeiro,Terça,Comunidade,Lista Espera,Outros,Não Informado
1507.17,797.0,0,Janeiro,Terça,Comunidade,Outros,Outros,Não Informado
1185.91,97.14,1,Janeiro,Terça,Comunidade,Lista Espera,Masculino,Médio
1295.74,931.8,0,Janeiro,Terça,Comunidade,Outros,Outros,Não Informado
526.17,97.14,1,Janeiro,Terça,Comunidade,Lista Espera,Outros,Não Informado
2027.89,797.0,0,Janeiro,Terça,Comunidade,Outros,Feminino,Superior Completo
2892.28,997.0,0,Janeiro,Terça,Python,Lista Espera,Outros,Não Informado
3005.56,997.0,0,Janeiro,Terça,Outros,Lista Espera,Outros,Não Informado
1497.35,97.14,1,Janeiro,Terça,Comunidade,Checkout,Masculino,Não Informado
569.17,97.14,1,Janeiro,Terça,Excel,Lista Espera,Outros,Não Informado
2614.45,1165.68,0,Janeiro,Terça,Python,Lista Espera,Outros,Não Informado
3229.86,997.0,0,Janeiro,Terça,Power BI,Lista Espera,Outros,Não Informado
2751.67,1165.68,0,Janeiro,Terça,Python,Lista Espera,Outros,Não Informado
199.89,97.14,1,Janeiro,Terça,Python,Lista Espera,Outros,Não Informado
171.98,97.14,1,Janeiro,Terça,Excel,Lista Espera,Outros,Não Informado
230.23,97.14,1,Janeiro,Terça,Comunidade,Lista Espera,Outros,Não Informado
2950.21,1165.68,0,Janeiro,Terça,Outros,Lista Espera,Masculino,Superior Completo
3120.62,1165.68,0,Janeiro,Terça,Power BI,Lista Espera,Masculino,Não Informado
1295.27,97.14,1,Janeiro,Terça,Power BI,Tráfego Direto,Outros,Não Informado
2279.2,997.0,0,Janeiro,Terça,Excel,Lista Espera,Feminino,Superior Completo
2778.78,1165.68,0,Janeiro,Terça,Comunidade,Lista Espera,Outros,Não Informado
1412.42,97.14,1,Janeiro,Terça,Comunidade,Checkout,Outros,Não Informado
2338.89,997.0,0,Janeiro,Terça,Excel,Lista Espera,Outros,Não Informado
2821.0,1059.84,0,Janeiro,Terça,Excel,Lista Espera,Outros,Não Informado
410.61,97.14,1,Janeiro,Terça,Excel,Lista Espera,Outros,Não Informado
1061.91,97.14,1,Janeiro,Terça,Power BI,Lançamento,Outros,Não Informado
502.45,97.14,1,Janeiro,Terça,Comunidade,Lista Espera,Outros,Não Informado
1852.5,1138.6,0,Janeiro,Terça,Comunidade,Outros,Outros,Não Informado
1292.24,97.14,1,Janeiro,Quarta,Power BI,Lista Espera,Masculino,Não Informado
2590.82,1085.64,0,Janeiro,Quarta,Power BI,Tráfego Direto,Outros,Não Informado
702.04,97.14,1,Janeiro,Quarta,Comunidade,Lista Espera,Masculino,Superior Completo
3291.9,1165.68,0,Janeiro,Quarta,Power BI,Lista Espera,Outros,Não Informado
2924.58,1165.68,0,Janeiro,Quarta,Comunidade,Lista Espera,Outros,Não Informado
3132.35,997.0,0,Janeiro,Quarta,Power BI,Lista Espera,Feminino,Superior+
2898.66,1165.68,0,Janeiro,Quarta,Power BI,Tráfego Direto,Outros,Não Informado
2634.22,1165.68,0,Janeiro,Quarta,Python,Lista Espera,Outros,Não Informado
2608.16,1165.68,0,Janeiro,Quarta,Excel,Tráfego Direto,Outros,Não Informado
2194.3,1165.68,0,Janeiro,Quarta,Power BI,Lista Espera,Outros,Não Informado
2275.29,1138.6,0,Janeiro,Quarta,Power BI,Lista Espera,Masculino,Superior Incompleto
26.09,97.14,1,Janeiro,Quarta,Comunidade,Lista Espera,Outros,Não Informado
2243.66,1165.68,0,Janeiro,Quarta,Excel,Lista Espera,Outros,Não Informado
2900.91,1165.68,0,Janeiro,Quarta,Outros,Lista Espera,Outros,Não Informado
2290.12,1165.68,0,Janeiro,Quarta,Excel,Lista Espera,Outros,Não Informado
2857.07,1165.68,0,Janeiro,Quarta,Power BI,Lista Espera,Outros,Não Informado
1503.45,97.14,1,Janeiro,Quarta,Python,Lista Espera,Masculino,Não Informado
519.27,66.42,0,Janeiro,Quarta,Outros,Outros,Masculino,Não Informado
1219.08,97.14,1,Janeiro,Quarta,Python,Lista Espera,Outros,Não Informado
1922.85,997.0,0,Janeiro,Quarta,Excel,Tráfego Direto,Outros,Não Informado
591.71,97.14,1,Janeiro,Quarta,Comunidade,Lista Espera,Outros,Não Informado
364.76,97.14,1,Janeiro,Quarta,Python,Lista Espera,Outros,Não Informado
1959.74,920.92,0,Janeiro,Quarta,Comunidade,Outros,Masculino,Superior Incompleto
1471.12,97.14,1,Janeiro,Quarta,Power BI,Lista Espera,Outros,Não Informado
171.24,97.14,1,Janeiro,Quarta,Power BI,Lista Espera,Feminino,Superior Completo
915.64,97.14,1,Janeiro,Quarta,Comunidade,Lista Espera,Outros,Não Informado
436.83,77.65,1,Janeiro,Quarta,Outros,Outros,Outros,Não Informado
2447.73,1165.68,0,Janeiro,Quarta,Excel,Lista Espera,Outros,Não Informado
2016.45,1165.68,0,Janeiro,Quarta,Python,Tráfego Direto,Masculino,Não Informado
2735.04,1165.68,0,Janeiro,Quarta,Comunidade,Lista Espera,Outros,Não Informado
2227.44,997.0,0,Janeiro,Quarta,Excel,Lista Espera,Outros,Não Informado
2063.29,797.0,0,Janeiro,Quarta,Comunidade,Outros,Outros,Não Informado
1056.77,97.14,1,Janeiro,Quarta,Power BI,Lista Espera,Outros,Não Informado
3306.41,997.0,0,Janeiro,Quarta,Excel,Lista Espera,Masculino,Superior Incompleto
774.53,97.14,1,Janeiro,Quarta,Outros,Lista Espera,Outros,Não Informado
2180.37,1165.68,0,Janeiro,Quarta,Comunidade,Lista Espera,Outros,Não Informado
2789.28,1165.68,0,Janeiro,Quarta,Comunidade,Lista Espera,Outros,Não Informado
3159.89,1165.68,0,Janeiro,Quarta,Power BI,Lista Espera,Feminino,Não Informado
3736.62,1165.68,0,Janeiro,Quarta,Power BI,Lista Espera,Outros,Não Informado
1068.49,97.14,1,Janeiro,Quarta,Excel,Tráfego Direto,Outros,Não Informado
876.38,97.14,1,Janeiro,Quarta,Comunidade,Lista Espera,Outros,Superior Completo
3489.33,1165.68,0,Janeiro,Quarta,Excel,Lista Espera,Masculino,Não Informado
2446.7,1165.68,0,Janeiro,Quarta,Power BI,Lista Espera,Outros,Não Informado
2354.17,1152.03,0,Janeiro,Quarta,Comunidade,Lista Espera,Masculino,Superior Completo
576.63,97.14,1,Janeiro,Quarta,Power BI,Lista Espera,Outros,Não Informado
2248.16,997.0,0,Janeiro,Quarta,Comunidade,Lista Espera,Masculino,Superior Incompleto
348.76,97.14,1,Janeiro,Quarta,Power BI,Lista Espera,Outros,Não Informado
3117.05,997.0,0,Janeiro,Quarta,Power BI,Lista Espera,Feminino,Não Informado
733.21,97.14,1,Janeiro,Quarta,Python,Lista Espera,Masculino,Superior Completo
10.0,97.14,1,Janeiro,Quarta,Comunidade,Lista Espera,Outros,Não Informado
2244.91,1072.7,0,Janeiro,Quarta,Outros,Lista Espera,Outros,Não Informado
1004.43,97.14,1,Janeiro,Quarta,Python,Lista Espera,Outros,Não Informado
1520.02,97.14,1,Janeiro,Quinta,Comunidade,Checkout,Outros,Não Informado
3406.36,997.0,0,Janeiro,Quinta,Excel,Tráfego Direto,Outros,Não Informado
4223.68,1165.68,0,Janeiro,Quinta,Excel,Lista Espera,Masculino,Superior Completo
1305.51,97.14,1,Janeiro,Quinta,Comunidade,Checkout,Outros,Não Informado
2197.56,1165.68,0,Janeiro,Quinta,Comunidade,Lista Espera,Outros,Não Informado
10.0,97.14,1,Janeiro,Quinta,Comunidade,Lista Espera,Outros,Não Informado
881.24,97.14,1,Janeiro,Quinta,Excel,Lista Espera,Masculino,Superior Completo
284.15,97.14,1,Janeiro,Quinta,Comunidade,Lista Espera,Masculino,Não Informado
2488.24,1165.68,0,Janeiro,Quinta,Comunidade,Lista Espera,Outros,Não Informado
2738.64,1165.68,0,Janeiro,Quinta,Power BI,Lista Espera,Outros,Não Informado
2374.22,997.0,0,Janeiro,Quinta,Comunidade,Lista Espera,Masculino,Superior Completo
3035.16,997.0,0,Janeiro,Quinta,Python,Tráfego Direto,Outros,Não Informado
1125.22,97.14,1,Janeiro,Quinta,Power BI,Lista Espera,Masculino,Médio
765.4,97.14,1,Janeiro,Quinta,Python,Lista Espera,Outros,Não Informado
171.4,97.14,1,Janeiro,Quinta,Comunidade,Lista Espera,Outros,Não Informado
10.0,97.14,1,Janeiro,Quinta,Python,Lista Espera,Masculino,Superior Completo
2452.32,1165.68,0,Janeiro,Quinta,Comunidade,Lista Espera,Outros,Não Informado
2568.27,997.0,0,Janeiro,Quinta,Python,Lista Espera,Masculino,Médio
1594.65,66.42,0,Janeiro,Quinta,Outros,Outros,Outros,Não Informado
3014.47,1165.68,0,Janeiro,Quinta,Power BI,Tráfego Direto,Outros,Não Informado
3546.04,1165.68,0,Janeiro,Quinta,Power BI,Lista Espera,Outros,Não Informado
2495.75,1165.68,0,Janeiro,Quinta,Excel,Lista Espera,Feminino,Superior Incompleto
2448.64,1165.68,0,Janeiro,Quinta,Power BI,Lista Espera,Outros,Não Informado
1956.9,997.0,0,Janeiro,Quinta,Comunidade,Lista Espera,Outros,Não Informado
2428.35,997.0,0,Janeiro,Quinta,Power BI,Lista Espera,Masculino,Superior Completo
4126.07,1165.68,0,Janeiro,Quinta,Power BI,Lista Espera,Outros,Não Informado
629.88,97.14,1,Janeiro,Quinta,Power BI,Lista Espera,Masculino,Superior Completo
1170.2,97.14,1,Janeiro,Quinta,Excel,Lista Espera,Outros,Não Informado
2210.77,1111.92,0,Janeiro,Quinta,Excel,Lista Espera,Outros,Não Informado
1217.32,97.14,1,Janeiro,Quinta,Excel,Lista Espera,Outros,Não Informado
2943.4,1165.68,0,Janeiro,Sexta,Excel,Lista Espera,Outros,Não Informado
2416.2,997.0,0,Janeiro,Sexta,Excel,Lista Espera,Outros,Não Informado
625.07,97.14,1,Janeiro,Sexta,Excel,Tráfego Direto,Outros,Não Informado
414.22,97.14,1,Janeiro,Sexta,Excel,Lista Espera,Outros,Não Informado
3274.35,1165.68,0,Janeiro,Sexta,Power BI,Lista Espera,Outros,Não Informado
515.37,97.14,1,Janeiro,Sexta,Excel,Lista Espera,Outros,Não Informado
75.24,97.14,1,Janeiro,Sexta,Comunidade,Lista Espera,Masculino,Médio
98.75,97.14,1,Janeiro,Sexta,Excel,Lista Espera,Outros,Não Informado
1033.08,97.14,1,Janeiro,Sexta,Power BI,Tráfego Direto,Outros,Não Informado
3847.94,1165.68,0,Janeiro,Sexta,Power BI,Lista Espera,Feminino,Superior+
776.71,97.14,1,Janeiro,Sexta,Comunidade,Lista Espera,Outros,Não Informado
2638.46,1165.68,0,Janeiro,Sexta,Comunidade,Lista Espera,Outros,Não Informado
1190.41,97.14,1,Janeiro,Sexta,Power BI,Lista Espera,Outros,Não Informado
3609.69,1165.68,0,Janeiro,Sexta,Power BI,Tráfego Direto,Outros,Não Informado
806.77,97.14,1,Janeiro,Sexta,Comunidade,Lista Espera,Outros,Não Informado
2490.49,1165.68,0,Janeiro,Sexta,Outros,Lista Espera,Outros,Não Informado
1305.77,97.14,1,Janeiro,Sexta,Excel,Lista Espera,Outros,Não Informado
912.77,97.14,1,Janeiro,Sexta,Comunidade,Lista Espera,Outros,Não Informado
1523.19,97.14,1,Janeiro,Sexta,Excel,Lista Espera,Outros,Não Informado
3100.66,1138.6,0,Janeiro,Sexta,Power BI,Lista Espera,Outros,Não Informado
1325.61,797.0,0,Janeiro,Sexta,Comunidade,Outros,Masculino,Médio
1955.88,1165.68,0,Janeiro,Sexta,Excel,Tráfego Direto,Outros,Não Informado
2781.29,797.0,0,Janeiro,Sexta,Comunidade,Outros,Outros,Não Informado
1968.33,97.14,1,Janeiro,Sexta,Comunidade,Checkout,Outros,Não Informado
1004.83,97.14,1,Janeiro,Sexta,Comunidade,Checkout,Outros,Não Informado
2251.51,997.0,0,Janeiro,Sexta,Comunidade,Lista Espera,Outros,Não Informado
3535.36,997.0,0,Janeiro,Sexta,Power BI,Lista Espera,Outros,Não Informado
135.26,97.14,1,Janeiro,Sexta,Comunidade,Lista Espera,Outros,Não Informado
2044.74,931.8,0,Janeiro,Sexta,Power BI,Outros,Masculino,Superior Incompleto
3074.21,1165.68,0,Janeiro,Sexta,Python,Tráfego Direto,Outros,Não Informado
645.94,97.14,1,Janeiro,Sexta,Python,Lista Espera,Outros,Não Informado
2495.93,1165.68,0,Janeiro,Sexta,Comunidade,Outros,Outros,Não Informado
2212.76,797.0,0,Janeiro,Sexta,Power BI,Outros,Outros,Não Informado
916.61,97.14,1,Janeiro,Sexta,Excel,Lista Espera,Outros,Não Informado
3411.07,1165.68,0,Janeiro,Sexta,Comunidade,Lista Espera,Masculino,Superior Completo
3094.38,1165.68,0,Janeiro,Sexta,Power BI,Lista Espera,Outros,Não Informado
2271.5,797.0,0,Janeiro,Sexta,Comunidade,Outros,Masculino,Superior Completo
1710.61,1165.68,0,Janeiro,Sábado,Excel,Lista Espera,Outros,Não Informado
821.05,97.14,1,Janeiro,Sábado,Python,Lista Espera,Outros,Não Informado
2621.63,1165.68,0,Janeiro,Sábado,Power BI,Lista Espera,Outros,Não Informado
478.68,97.14,1,Janeiro,Sábado,Comunidade,Checkout,Outros,Não Informado
2303.95,1165.68,0,Janeiro,Sábado,Excel,Lista Espera,Outros,Não Informado
2759.31,1085.64,0,Janeiro,Sábado,Power BI,Lista Espera,Outros,Não Informado
1309.39,97.14,1,Janeiro,Sábado,Python,Lista Espera,Outros,Não Informado
374.22,97.14,1,Janeiro,Sábado,Power BI,Lista Espera,Outros,Não Informado
961.22,97.14,1,Janeiro,Sábado,Excel,Lançamento,Outros,Não Informado
2503.41,1165.68,0,Janeiro,Sábado,Excel,Lista Espera,Outros,Não Informado
879.82,97.14,1,Janeiro,Sábado,Power BI,Lista Espera,Outros,Não Informado
3256.17,1165.68,0,Janeiro,Sábado,Excel,Lista Espera,Outros,Não Informado
1018.13,97.14,1,Janeiro,Sábado,Excel,Lista Espera,Outros,Não Informado
1372.78,97.14,1,Janeiro,Sábado,Comunidade,Lista Espera,Outros,Não Informado
1017.49,97.14,1,Janeiro,Sábado,Comunidade,Checkout,Masculino,Superior Completo
693.39,97.14,1,Janeiro,Sábado,Power BI,Lista Espera,Outros,Não Informado
532.38,97.14,1,Janeiro,Domingo,Excel,Tráfego Direto,Outros,Não Informado
2821.29,1165.68,0,Janeiro,Domingo,Comunidade,Lista Espera,Outros,Não Informado
2937.91,1165.68,0,Janeiro,Domingo,Python,Lista Espera,Outros,Não Informado
2099.54,1165.68,0,Janeiro,Domingo,Excel,Tráfego Direto,Outros,Não Informado
2043.51,931.8,0,Janeiro,Domingo,Outros,Outros,Outros,Não Informado
3014.06,1165.68,0,Janeiro,Domingo,Outros,Lista Espera,Outros,Não Informado
4023.01,1165.68,0,Janeiro,Domingo,Excel,Lista Espera,Outros,Não Informado
1595.87,97.14,1,Janeiro,Domingo,Excel,Tráfego Direto,Masculino,Superior Incompleto
2163.54,997.0,0,Janeiro,Domingo,Python,Lista Espera,Outros,Não Informado
2413.56,1072.7,0,Janeiro,Domingo,Comunidade,Lista Espera,Outros,Não Informado
10.0,97.14,1,Janeiro,Domingo,Outros,Lista Espera,Outros,Não Informado
2146.45,997.0,0,Janeiro,Domingo,Comunidade,Lista Espera,Feminino,Superior Completo
3008.3,1165.68,0,Janeiro,Domingo,Python,Lista Espera,Outros,Não Informado
1356.18,97.14,1,Janeiro,Domingo,Excel,Lista Espera,Outros,Não Informado
2379.42,1165.68,0,Janeiro,Domingo,Excel,Lista Espera,Outros,Não Informado
2214.33,997.0,0,Janeiro,Domingo,Outros,Tráfego Direto,Outros,Não Informado
10.0,97.14,1,Janeiro,Segunda,Power BI,Lista Espera,Outros,Não Informado
2766.17,1165.68,0,Janeiro,Segunda,Python,Lista Espera,Outros,Não Informado
107.86,97.14,1,Janeiro,Segunda,Excel,Tráfego Direto,Outros,Não Informado
398.44,77.65,1,Janeiro,Segunda,Comunidade,Lista Espera,Outros,Não Informado
2304.6,1165.68,0,Janeiro,Segunda,Excel,Lista Espera,Masculino,Não Informado
3000.8,1165.68,0,Janeiro,Segunda,Power BI,Lista Espera,Masculino,Superior Completo
10.0,97.14,1,Janeiro,Segunda,Comunidade,Lista Espera,Outros,Não Informado
10.0,97.14,1,Janeiro,Segunda,Excel,Tráfego Direto,Masculino,Médio
3726.46,1165.68,0,Janeiro,Segunda,Excel,Tráfego Direto,Outros,Não Informado
2096.76,1165.68,0,Janeiro,Segunda,Excel,Lista Espera,Outros,Não Informado
1650.29,837.03,0,Janeiro,Segunda,Comunidade,Lista Espera,Feminino,Superior Completo
3678.47,1165.68,0,Janeiro,Segunda,Excel,Lista Espera,Feminino,Não Informado
4049.17,1085.64,0,Janeiro,Segunda,Outros,Lista Espera,Masculino,Não Informado
2105.41,1165.68,0,Janeiro,Segunda,Comunidade,Lista Espera,Feminino,Superior Completo
2011.27,931.8,0,Janeiro,Segunda,Excel,Outros,Masculino,Superior Completo
2618.41,997.0,0,Janeiro,Segunda,Comunidade,Lista Espera,Outros,Não Informado
3823.68,1165.68,0,Janeiro,Segunda,Power BI,Tráfego Direto,Outros,Não Informado
596.11,97.14,1,Janeiro,Segunda,Comunidade,Checkout,Outros,Não Informado
2424.35,1165.68,0,Janeiro,Segunda,Outros,Lista Espera,Outros,Não Informado
3092.05,1165.68,0,Janeiro,Segunda,Comunidade,Lista Espera,Outros,Não Informado
3068.62,1165.68,0,Janeiro,Segunda,Python,Lista Espera,Masculino,Não Informado
855.28,97.14,1,Janeiro,Segunda,Power BI,Lista Espera,Outros,Não Informado
2680.77,1165.68,0,Janeiro,Segunda,Excel,Lista Espera,Masculino,Não Informado
1799.45,997.0,0,Janeiro,Segunda,Excel,Lista Espera,Outros,Não Informado
2750.01,1047.06,0,Janeiro,Segunda,Power BI,Lista Espera,Outros,Não Informado
2613.66,1165.68,0,Janeiro,Segunda,Excel,Lista Espera,Outros,Não Informado
811.79,129.5,1,Janeiro,Segunda,Python,Outros,Outros,Não Informado
2336.74,1111.92,0,Janeiro,Segunda,Comunidade,Lista Espera,Outros,Não Informado
2937.24,1165.68,0,Janeiro,Segunda,Comunidade,Lista Espera,Outros,Não Informado
3561.21,1165.68,0,Janeiro,Segunda,Power BI,Lista Espera,Outros,Não Informado
774.4,97.14,1,Janeiro,Segunda,Comunidade,Lista Espera,Masculino,Médio
923.79,97.14,1,Janeiro,Segunda,Python,Tráfego Direto,Outros,Não Informado
2875.43,1165.68,0,Janeiro,Segunda,Python,Lista Espera,Outros,Não Informado
745.75,97.14,1,Janeiro,Segunda,Excel,Lista Espera,Outros,Não Informado
2483.23,1165.68,0,Janeiro,Terça,Python,Lista Espera,Masculino,Superior Completo
1255.94,97.14,1,Janeiro,Terça,Comunidade,Checkout,Outros,Não Informado
2699.27,1165.68,0,Janeiro,Terça,Excel,Lista Espera,Outros,Não Informado
3555.18,997.0,0,Janeiro,Terça,Excel,Lista Espera,Outros,Não Informado
1842.23,97.14,1,Janeiro,Terça,Power BI,Lista Espera,Outros,Não Informado
3340.84,1497.0,0,Janeiro,Terça,Excel,Tráfego Direto,Outros,Não Informado
2409.2,997.0,0,Janeiro,Terça,Power BI,Lista Espera,Outros,Não Informado
2232.34,997.0,0,Janeiro,Terça,Power BI,Lista Espera,Outros,Não Informado
1390.15,124.75,1,Janeiro,Terça,Excel,Lista Espera,Outros,Não Informado
1178.73,97.14,1,Janeiro,Terça,Python,Lançamento,Outros,Não Informado
1288.79,97.14,1,Janeiro,Terça,Power BI,Lista Espera,Outros,Não Informado
2165.31,1165.68,0,Janeiro,Terça,Python,Lançamento,Masculino,Superior Completo
3015.02,997.0,0,Janeiro,Terça,Outros,Tráfego Direto,Outros,Não Informado
3028.57,1165.68,0,Janeiro,Terça,Outros,Tráfego Direto,Masculino,Não Informado
483.55,97.14,1,Janeiro,Terça,Python,Lançamento,Masculino,Superior Completo
657.0,97.14,1,Janeiro,Terça,Outros,Lista Espera,Masculino,Superior Incompleto
2882.03,1165.68,0,Janeiro,Terça,Excel,Lista Espera,Outros,Não Informado
2822.06,997.0,0,Janeiro,Terça,Python,Lançamento,Outros,Não Informado
3397.59,1497.0,0,Janeiro,Terça,Power BI,Lista Espera,Outros,Não Informado
3193.11,1497.0,0,Janeiro,Terça,Excel,Lista Espera,Outros,Não Informado
2724.04,1034.4,0,Janeiro,Terça,Power BI,Lista Espera,Masculino,Não Informado
1110.62,155.59,1,Janeiro,Terça,Ciência de Dados,Outros,Masculino,Não Informado
3793.47,1165.68,0,Janeiro,Terça,Python,Lançamento,Outros,Não Informado
10.0,97.14,1,Janeiro,Terça,Python,Lançamento,Outros,Não Informado
2675.59,997.0,0,Janeiro,Terça,Python,Lançamento,Feminino,Superior Incompleto
3137.88,1165.68,0,Janeiro,Terça,Python,Lançamento,Masculino,Superior Completo
3198.37,1165.68,0,Janeiro,Terça,Python,Lançamento,Outros,Não Informado
2607.22,997.0,0,Janeiro,Terça,Python,Lançamento,Outros,Não Informado
1906.15,997.0,0,Janeiro,Terça,Python,Lançamento,Outros,Não Informado
3214.57,1165.68,0,Janeiro,Terça,Python,Lançamento,Outros,Não Informado
3923.0,1165.68,0,Janeiro,Terça,Python,Lançamento,Outros,Não Informado
2271.99,1165.68,0,Janeiro,Terça,Python,Lançamento,Outros,Não Informado
3232.82,997.0,0,Janeiro,Terça,Python,Lançamento,Masculino,Superior Completo
2629.18,997.0,0,Janeiro,Terça,Python,Lançamento,Outros,Não Informado
2764.45,997.0,0,Janeiro,Terça,Python,Lançamento,Outros,Não Informado
2515.48,1165.68,0,Janeiro,Terça,Python,Lançamento,Outros,Não Informado
2626.18,997.0,0,Janeiro,Terça,Python,Lançamento,Outros,Não Informado
3453.65,997.0,0,Janeiro,Terça,Python,Lançamento,Masculino,Superior Completo
3343.49,1165.68,0,Janeiro,Terça,Python,Lançamento,Outros,Não Informado
3805.45,1085.64,0,Janeiro,Terça,Python,Lançamento,Outros,Não Informado
3391.57,997.0,0,Janeiro,Terça,Python,Lançamento,Outros,Não Informado
3270.81,1165.68,0,Janeiro,Terça,Python,Lançamento,Outros,Não Informado
3931.4,1165.68,0,Janeiro,Terça,Python,Lançamento,Outros,Não Informado
3270.76,1165.68,0,Janeiro,Terça,Python,Lançamento,Outros,Não Informado
3467.69,1165.68,0,Janeiro,Terça,Python,Lançamento,Outros,Não Informado
2645.36,997.0,0,Janeiro,Terça,Python,Lançamento,Outros,Não Informado
3082.21,1165.68,0,Janeiro,Terça,Python,Lançamento,Feminino,Não Informado
2555.98,1072.7,0,Janeiro,Terça,Python,Lançamento,Outros,Não Informado
3296.48,997.0,0,Janeiro,Terça,Python,Lançamento,Outros,Não Informado
